#{"t_start": 1767168425.75513, "env_id": "highway-v0"}
r,l,t
14.68363,16,3725.93445
10.267912,12,3726.984398
8.816963,10,3727.862339
25.794741,28,3730.312996
1.839988,3,3730.576788
7.039185,8,3731.281041
5.994741,7,3731.898942
2.112913,3,3732.170518
16.039185,17,3733.669587
13.839851,16,3735.084377
3.705875,5,3735.528461
6.505852,8,3736.23457
13.860167,15,3737.54618
16.1192,17,3739.040493
5.572519,7,3739.683668
12.416963,14,3740.936472
10.615723,12,3742.0123
5.845171,7,3742.639115
6.252519,7,3743.25698
24.872448,27,3745.62879
15.3935,17,3747.135504
9.385867,11,3748.10981
2.039988,3,3748.380362
3.822949,5,3748.829873
14.950296,16,3750.264106
6.039186,7,3750.879633
17.739115,20,3752.661242
5.88363,7,3753.282416
8.758296,10,3754.161467
3.112919,4,3754.520526
5.728075,7,3755.137709
5.926841,7,3755.785515
8.252519,9,3756.568699
7.839185,9,3757.367483
1.208682,2,3757.551065
3.928098,5,3757.999402
2.039988,3,3758.267771
13.636705,15,3759.600718
15.661408,17,3761.149931
8.571281,10,3762.068544
5.305853,6,3762.607476
17.172519,19,3764.284948
5.50312,7,3764.909023
6.978504,8,3765.623704
3.156287,4,3765.98705
3.739114,5,3766.441945
19.252519,20,3768.238453
1.956314,3,3768.509974
9.08363,10,3769.404902
4.039209,5,3769.867712
6.847185,8,3770.589833
7.506517,9,3771.39418
0.910548,2,3771.583552
6.047185,7,3772.20949
13.972519,15,3773.547673
6.622948,8,3774.269302
12.416963,14,3775.521804
1.839988,3,3775.800156
9.178215,10,3776.703066
5.728075,7,3777.337638
6.928637,8,3778.054601
8.325338,10,3778.933418
3.156287,4,3779.287507
2.039988,3,3779.560687
7.461408,9,3780.374972
2.039988,3,3780.657754
10.772519,12,3781.746174
11.172519,13,3782.931007
8.816963,10,3783.805986
6.11292,7,3784.433973
5.072448,6,3784.981483
9.749062,11,3785.969813
5.605782,7,3786.60001
10.239185,12,3787.683142
6.68363,8,3788.399593
3.705875,5,3788.843179
3.816987,5,3789.291733
10.695412,12,3790.362856
2.772656,4,3790.734567
10.905966,13,3791.910298
8.119188,9,3792.73025
3.705875,5,3793.189431
10.437945,12,3794.26634
4.637714,6,3794.803556
8.039185,9,3795.615529
10.505852,12,3796.688989
4.039209,5,3797.149136
8.594741,10,3798.048559
8.816963,10,3798.951403
3.705875,5,3799.416461
0.97955,2,3799.602568
6.861408,8,3800.316457
16.222948,18,3801.960074
2.039988,3,3802.238086
5.305853,6,3802.815607
10.460173,12,3803.948265
6.252519,7,3804.58414
5.728075,7,3805.216869
8.594741,10,3806.113405
15.717945,17,3807.642411
7.839185,9,3808.456553
18.639185,21,3810.345976
6.039186,7,3810.977481
8.305852,9,3811.799272
7.074741,8,3812.529351
10.772519,12,3813.629932
18.202741,19,3815.343029
1.072175,2,3815.531486
9.949056,11,3816.529745
8.594741,10,3817.430356
4.112919,5,3817.889465
3.646252,5,3818.348881
6.505852,8,3819.070421
7.039185,8,3819.797953
1.208682,2,3819.992339
7.439185,9,3820.814739
6.68363,8,3821.552225
7.639185,9,3822.374004
17.903371,19,3824.131007
4.039209,5,3824.583859
8.039185,9,3825.409734
8.039185,9,3826.231937
8.052519,9,3827.053159
2.639988,4,3827.413061
4.039209,5,3827.867207
14.194741,16,3829.320216
19.637945,21,3831.23584
16.405775,18,3832.890958
11.205782,13,3834.077636
5.039189,6,3834.626367
22.536074,25,3836.848521
2.021166,3,3837.118392
6.68363,8,3837.845005
6.68363,8,3838.555435
2.772656,4,3838.914601
3.039322,4,3839.272091
1.306655,2,3839.456008
4.846253,6,3839.995447
10.039185,11,3840.988567
21.039185,22,3843.00843
7.029054,8,3843.724733
2.069476,3,3843.999221
11.156282,12,3845.091835
4.639189,6,3845.642224
5.793501,7,3846.280547
1.306655,2,3846.468397
7.88239,9,3847.279222
2.935141,4,3847.64901
1.839988,3,3847.92443
3.972523,5,3848.389358
14.361337,16,3849.836533
14.594741,16,3851.277254
10.505852,12,3852.36443
7.652519,9,3853.185178
13.972519,16,3854.621602
10.039185,11,3855.606707
11.039185,12,3856.695881
14.039185,15,3858.066382
11.252519,12,3859.14075
24.239185,27,3861.623901
3.305875,4,3861.993553
10.772519,12,3863.10412
11.11292,12,3864.206703
7.039185,8,3864.936654
9.816963,11,3865.927016
15.661408,17,3867.462136
10.505852,12,3868.561637
6.579586,8,3869.294152
9.030296,10,3870.206603
0.97955,2,3870.396114
13.072448,15,3871.750372
16.928637,18,4771.064573
6.039186,7,4771.659086
6.971278,8,4772.347896
6.772519,8,4773.045971
18.202741,19,4774.711748
5.941408,7,4775.310829
10.772519,12,4776.339193
7.072448,8,4777.037221
6.039186,7,4777.634792
0.999437,2,4777.817833
6.68363,8,4778.50974
9.860167,11,4779.440863
3.705875,5,4779.868645
1.839988,3,4780.124834
8.668475,10,4780.995714
11.750296,13,4782.108453
13.372519,15,4783.387624
8.372519,10,4784.236492
5.88363,7,4784.835773
11.5935,13,4785.94737
3.816987,5,4786.378959
2.039988,3,4786.639972
13.039185,15,4787.928309
7.439185,9,4788.706715
2.772656,4,4789.052227
1.068439,2,4789.226968
5.88363,7,4789.818885
9.659912,11,4790.778615
9.824963,11,4791.734292
1.253127,2,4791.913754
8.536074,10,4792.791261
8.372519,10,4793.658742
9.794741,11,4794.58566
16.802741,18,4796.109137
8.393503,10,4796.961004
12.416963,14,4798.144518
16.356282,18,4799.691726
6.039186,7,4800.291767
7.482396,9,4801.089965
3.86941,5,4801.527515
10.039185,11,4802.468884
3.972523,5,4802.910697
7.715653,9,4803.693686
17.779586,20,4805.419284
4.215733,5,4805.851252
13.372519,15,4807.135313
5.039189,6,4807.674201
14.328074,16,4809.077475
10.156282,11,4810.0238
1.949868,3,4810.286304
4.639189,6,4810.804816
4.883634,6,4811.354332
6.993501,8,4812.064483
10.505852,12,4813.113888
15.956282,18,4814.73223
13.439299,15,4816.045012
3.039322,4,4816.413087
6.861408,8,4817.121839
4.039209,5,4817.56201
16.039185,17,4819.032748
1.973321,3,4819.290693
15.28363,17,4820.766822
7.439185,9,4821.579057
16.772519,19,4823.248351
2.039988,3,4823.5203
4.776416,6,4824.046141
4.039209,5,4824.493172
13.072448,14,4825.705007
13.905852,15,4827.007786
11.328078,13,4828.138648
6.505852,8,4828.846603
17.44393,19,4830.509778
18.572519,20,4832.300383
13.199486,15,4833.629388
11.772519,13,4834.769417
26.112611,27,4837.134857
8.816963,10,4838.012904
23.88363,26,4840.269523
12.728074,14,4841.499247
11.072448,12,4842.565758
4.962897,6,4843.103098
1.906655,3,4843.368217
1.253127,2,4843.560566
16.71292,18,4845.168025
1.217766,2,4845.349962
12.728074,14,4846.577543
4.030299,5,4847.020559
9.550296,11,4848.029132
8.628004,10,4848.922915
8.372519,10,4849.80703
22.79226,24,4851.956957
19.439851,22,4853.929848
6.772519,8,4854.648463
19.105852,21,4856.523548
7.039185,8,4857.228542
8.039185,9,4858.032138
11.750296,13,4859.193856
2.039988,3,4859.468229
19.439299,21,4861.358504
4.639189,6,4861.907038
15.202741,16,4863.338281
6.505852,8,4864.06271
7.252519,8,4864.771066
1.26221,2,4864.958904
1.906655,3,4865.232612
8.816963,10,4866.134038
3.039322,4,4866.497295
12.534059,14,4867.746264
10.639185,12,4868.822386
3.99353,5,4869.27093
3.928098,5,4869.712721
9.305852,11,4870.694645
7.039185,8,4871.405291
3.86941,5,4871.859395
6.861408,8,4872.590439
17.072448,18,4874.225175
3.971302,5,4874.679372
8.039185,9,4875.496683
6.949056,8,4876.212941
25.336074,28,4878.75579
5.072448,6,4879.296887
3.117961,4,4879.653676
11.039185,13,4880.805369
8.140167,9,4881.606713
6.861408,8,4882.343852
9.637945,11,4883.345394
12.416963,14,4884.624856
2.860307,4,4884.98642
11.202741,12,4886.061954
1.119793,2,4886.246461
8.039185,9,4887.044254
10.750296,12,4888.115451
1.023137,2,4888.299349
7.472448,9,4889.121744
2.039988,3,4889.398369
6.68363,8,4890.123546
3.978349,5,4890.582357
5.941408,7,4891.218527
5.905853,7,4891.858899
7.652519,9,4892.67181
5.039186,6,4893.22677
4.039209,5,4893.687704
7.439185,9,4894.511081
18.015723,20,4896.326226
11.039185,12,4897.409078
15.039185,16,4898.842388
1.069811,2,4899.028908
4.985853,6,4899.579624
8.905855,10,4900.479352
7.240101,9,4901.29542
3.928098,5,4901.74714
1.906655,3,4902.017642
8.572519,10,4902.925522
6.66017,8,4903.66269
10.805782,12,4904.742354
6.373184,8,4905.476564
13.162389,14,4906.744003
9.202741,10,4907.655713
4.112919,5,4908.120369
5.016967,6,4908.66629
7.602741,9,4909.483268
14.541408,16,4910.917393
13.999485,15,4912.261623
10.772519,12,4913.347112
2.98587,4,4913.719365
14.005782,16,4915.177016
3.074759,4,4915.537409
6.935142,8,4916.267575
1.839988,3,4916.548327
2.156314,3,4916.822715
14.156282,15,4918.184225
6.505852,8,4918.905649
5.826763,7,4919.539725
1.208682,2,4919.727081
8.372519,10,4920.634332
3.904494,5,4921.084111
6.713852,8,4921.803235
1.069811,2,4921.991511
3.705875,5,4922.448663
2.939068,4,4922.818073
2.772656,4,4923.188071
15.072448,16,4924.632851
3.705875,5,4925.097691
2.039988,3,4925.371976
5.728075,7,4926.005741
15.362389,17,4927.547107
3.779586,5,4928.005318
4.639189,6,4928.54849
2.938881,4,4928.912221
4.039209,5,4929.365747
6.949056,8,4930.080769
9.246253,11,4931.071016
4.252522,5,4931.535783
3.104638,4,4931.900387
15.794741,17,4933.454557
17.252519,18,4935.096265
4.639189,6,4935.656094
13.705852,15,4937.012933
4.039209,5,4937.470686
1.910548,3,4937.747647
13.372519,15,4939.117726
8.11292,9,4939.947851
3.039322,4,4940.313759
2.039988,3,4940.599212
14.401809,16,4942.087051
1.1587,2,4942.272457
3.705875,5,4942.742643
13.869408,15,4944.150904
9.550296,11,4945.136663
8.594741,10,4946.060474
10.669408,12,4947.150974
14.66017,16,4948.587484
16.039185,17,4950.100671
22.928074,25,4952.318166
6.039186,7,4952.957477
8.484193,10,4953.873098
0.97955,2,4954.069904
4.772523,6,4954.622762
9.550296,11,4955.635794
7.571278,9,4956.455592
2.156314,3,4956.735823
9.624031,11,4957.738411
5.88363,7,4958.37129
10.772519,12,4959.463548
18.150296,20,4961.294075
5.572519,7,4961.931681
16.9935,19,4963.643556
5.572519,7,4964.295554
8.532809,10,4965.23558
14.747822,16,4966.698187
2.252623,3,4966.972323
6.039186,7,4967.610865
11.96363,13,4968.838601
8.585852,10,4969.773547
2.039988,3,4970.064031
18.069408,19,5870.022464
18.9935,21,5871.828926
3.163648,4,5872.180303
1.77572,3,5872.452896
3.882419,5,5872.90027
1.208682,2,5873.077619
2.305989,3,5873.339763
11.039185,12,5874.378613
13.156282,15,5875.695375
13.869408,15,5876.986752
6.579586,8,5877.675076
8.585852,10,5878.522418
3.156287,4,5878.863592
2.252623,3,5879.122245
4.039209,5,5879.56224
13.326834,15,5880.834217
3.928098,5,5881.272004
3.928098,5,5881.700342
1.906655,3,5881.964534
12.594741,14,5883.193626
3.816987,5,5883.635093
5.072448,6,5884.145845
11.913852,13,5885.284796
4.852519,6,5885.81237
13.536074,15,5887.086026
2.772656,4,5887.432257
5.039189,6,5887.95252
4.039209,5,5888.391314
24.674741,26,5890.611977
9.550296,11,5891.556043
16.016963,17,5893.008532
2.894663,4,5893.362832
2.772656,4,5893.719951
1.951099,3,5893.977888
5.593504,7,5894.572556
7.639185,9,5895.371521
1.217766,2,5895.552779
4.772523,6,5896.070831
19.439299,21,5897.894614
14.328074,16,5899.260532
5.572519,7,5899.872738
1.906655,3,5900.137026
6.68363,8,5900.832089
12.072448,13,5902.023197
3.93406,5,5902.462946
4.039209,5,5902.914992
17.126834,19,5904.59054
12.072448,13,5905.727337
13.372519,15,5907.005427
7.039185,8,5907.697459
5.705853,7,5908.301751
2.136143,3,5908.564574
10.460173,12,5909.601432
10.239185,12,5910.648792
24.505852,27,5913.029005
9.550296,11,5914.002812
21.016963,23,5916.055801
3.571161,5,6815.60262
8.816963,10,6816.472691
6.55419,8,6817.186476
3.779586,5,6817.615157
4.039209,5,6818.039855
8.816963,10,6818.888433
17.194741,19,6820.617523
16.661408,18,6822.145566
7.639185,9,6822.931147
6.000726,7,6823.548349
7.905871,9,6824.334138
14.905852,17,6825.806944
17.572522,20,6827.506854
3.919188,5,6827.936301
3.705875,5,6828.36463
8.039185,9,6829.126615
9.202741,10,6829.987311
6.68363,8,6830.666665
6.861408,8,6831.342876
18.150296,20,6833.015786
23.88363,26,6835.270215
1.253127,2,6835.443118
17.734059,19,6837.071899
6.716893,8,6837.756493
10.039185,11,6838.700685
3.705875,5,6839.148255
2.017766,3,6839.408554
4.848962,6,6839.944772
4.905856,6,6840.455665
17.830296,19,6842.131323
14.089457,16,6843.536077
12.105852,14,6844.753385
2.793641,4,6845.110005
8.905966,10,6845.992227
3.039322,4,6846.336152
14.328074,16,6847.724414
8.372519,10,6848.586355
9.550296,11,6849.523118
4.905856,6,6850.035246
1.872402,3,6850.309021
1.839988,3,6850.584266
3.928098,5,6851.021662
8.105852,9,6851.806758
13.11292,14,6853.020037
5.572519,7,6853.653366
6.728078,8,6854.357618
6.935142,8,6855.055142
7.439185,9,6855.837259
5.039189,6,6856.358334
11.860167,13,6857.470994
5.072448,6,6857.996862
1.839988,3,6858.264661
4.985853,6,6858.795048
8.039185,9,6859.581785
1.839988,3,6859.846272
7.639185,9,6860.627784
10.008074,11,6861.581278
1.253127,2,6861.760547
9.550296,11,7033.426364
6.072448,7,7034.02721
1.119793,2,7034.206114
5.845171,7,7034.820646
4.202743,5,7035.245171
4.141411,5,7035.668269
11.461408,13,7036.792968
10.015723,11,7037.741189
14.757364,16,7039.090054
3.822949,5,7039.524452
9.039185,10,7040.376265
8.711837,10,7041.242984
9.550296,11,7042.168129
15.859103,18,7043.675481
10.372519,12,7044.696058
13.172519,14,7045.901261
4.928641,6,7046.419656
8.674741,10,7047.27526
10.772519,12,7048.305645
11.305852,12,7049.343056
9.660167,11,7050.330072
12.905853,15,7051.620912
30.134834,31,7054.277541
13.919185,15,7055.589369
19.572519,22,7057.494256
16.039185,17,7058.965084
25.905852,27,7061.285068
4.639303,6,7061.799208
7.639185,9,7062.572071
26.039185,27,7064.905496
5.728075,7,7065.524884
6.68363,8,7066.221726
4.639189,6,7066.75324
3.09543,4,7067.107592
6.11292,7,7067.719847
8.816963,10,7068.593026
8.437945,10,7069.459276
1.217766,2,7069.640796
1.1587,2,7069.82265
12.372519,14,7071.035461
5.072448,6,7071.561776
7.771023,9,7072.348286
3.826677,5,7072.787189
0.910548,2,7072.969457
11.328074,13,7074.113034
4.805782,6,7074.645632
5.039189,6,7075.213303
1.027731,2,7075.396877
6.039186,7,7076.023274
3.816987,5,7076.465762
14.68363,16,7077.879435
10.505852,12,7078.92969
5.88363,7,7079.547215
17.059912,19,7318.661351
4.7503,6,7319.172678
3.860191,5,7319.606015
7.802741,9,7320.378858
7.039185,8,7321.066872
2.039988,3,7321.325601
12.04393,13,7322.463896
1.164238,2,7322.646349
13.560097,15,7323.936042
8.372519,10,7324.802775
7.639185,9,7325.563959
6.757364,8,7326.244679
11.461408,13,7327.356785
10.305852,11,7328.287602
3.305875,4,7328.631114
4.643083,6,7329.14072
5.689615,7,7329.74414
8.402751,10,7330.600203
11.039185,12,7331.622583
2.950434,4,7331.97333
8.890697,10,7332.848205
1.839988,3,7333.122747
1.906655,3,7333.386036
3.039322,4,7333.734306
9.683633,11,7334.669471
0.97955,2,7334.846296
8.039185,9,7335.634337
6.861408,8,7336.341643
4.639189,6,7336.85855
18.150296,20,7338.561009
2.069476,3,7338.819679
8.816963,10,7339.679892
7.905852,9,7340.465419
7.074741,8,7341.151943
1.906655,3,7341.415292
8.816963,10,7342.276396
13.239185,15,7343.578479
2.772656,4,7343.924628
22.089615,24,7346.002341
17.905855,19,7347.646331
6.039186,7,7348.255708
1.203144,2,7348.436314
3.705875,5,7348.865658
10.039185,11,7349.816815
10.202741,11,7350.755279
14.401809,16,7352.142627
9.777009,11,7353.104262
4.939115,6,7353.636306
12.349076,14,7354.840145
16.772519,19,7356.509854
6.582319,8,7357.229442
7.039185,8,7357.923329
8.668475,10,7358.800131
5.88363,7,7359.403388
4.672448,6,7359.91797
10.372632,12,7360.985303
7.306517,9,7361.781747
1.253127,2,7361.961084
11.56009,13,7363.106844
11.578504,13,7364.258037
10.039185,11,8263.285542
6.54092,8,8263.964436
1.043882,2,8264.150301
6.252519,7,8264.750901
9.379586,11,8265.689808
3.928098,5,8266.122005
3.980521,5,8266.553547
22.215723,24,8268.600214
4.772523,6,8269.116216
9.416963,11,8270.056356
5.761337,7,8270.650806
19.260167,20,8272.376804
8.489615,10,8273.219945
10.239185,12,8274.246147
6.68363,8,8274.942415
4.672448,6,8275.46336
6.156282,7,8276.077842
5.88363,7,8276.682369
15.694671,17,8278.168622
3.163648,4,8278.518584
2.252623,3,8278.782205
8.660043,10,8279.6353
7.526834,9,8280.414056
7.556282,9,8281.198099
7.439185,9,8281.990168
8.711837,10,8282.856557
8.816963,10,8283.725056
1.253127,2,8283.902179
4.639189,6,8284.42823
8.711837,10,8285.279925
9.794741,11,8286.223227
1.043882,2,8286.405639
8.639185,10,8287.266811
9.172519,11,8288.206163
5.761337,7,8288.809407
3.216987,4,8289.152186
0.999437,2,8289.330099
3.779586,5,8289.769812
18.905852,21,8291.553745
2.983552,4,8291.907432
2.039988,3,8292.175462
9.039185,10,8293.031688
5.88363,7,8293.634077
4.112919,5,8294.070227
6.505852,8,8294.757434
4.252522,5,8295.190162
6.376412,8,8295.869006
2.772656,4,8296.209815
10.002741,12,8297.272599
1.173321,2,8297.452436
8.749056,10,8298.303601
19.269408,21,8300.124739
6.926834,8,8300.808739
12.319185,14,8302.030893
16.802741,18,8303.580405
5.88363,7,8304.191905
4.039209,5,8304.621779
9.971278,11,8305.566687
1.027731,2,8305.742846
7.305855,9,8306.507793
11.015726,12,8307.552835
1.973321,3,8307.812885
5.202741,6,8308.325588
13.869408,15,8778.19134
2.00281,3,8778.465148
6.202741,7,8779.092015
6.039186,7,8779.743157
17.705852,20,8781.967812
5.728326,7,8782.610923
26.039185,27,8784.994131
5.728075,7,8785.588046
14.252519,15,8787.009054
2.772656,4,8787.404
5.039189,6,8787.957135
4.305856,5,8788.398875
17.949056,19,8790.104885
13.993503,16,8791.604273
16.903371,19,8793.218176
1.253127,2,8793.392841
1.906655,3,8793.651052
14.072448,15,8794.943713
4.672448,6,8795.458152
6.579586,8,8796.139307
1.119793,2,8796.315063
2.039988,3,8796.582033
8.072448,9,8797.356816
10.505852,12,8798.371623
5.014668,6,8798.925886
5.572519,7,8799.597998
20.815723,22,8801.585541
1.839988,3,8801.861702
10.979586,12,8802.925311
1.067582,2,8803.114586
11.461408,13,8804.264478
0.954993,2,8804.445267
1.939068,3,8804.70232
5.039189,6,8805.248468
5.572519,7,8805.869107
4.639189,6,8806.386334
3.039322,4,8806.738911
3.705875,5,8807.193493
2.805774,4,8807.568119
2.805774,4,8807.937596
1.208682,2,8808.153435
